File,Mg_flag,Al_flag,Si_flag,P_flag,S_flag,K_flag,Ca_flag,Ti_flag,V_flag,Cr_flag,Mn_flag,Fe_flag,Co_flag,Ni_flag,Cu_flag,Zn_flag,As_flag,Rb_flag,Sr_flag,Y_flag,Zr_flag,Nb_flag,Mo_flag,Ba_flag,Pb_flag,Th_flag,U_flag
3687,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3688,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3689,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3690,,,,[LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,[LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3691,,,,,[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3769,[LOW][LOW-ERR],,,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,,,,,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR]
3770,[LOW][LOW-ERR],,,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,,,,,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR]
3771,[LOW][LOW-ERR],,,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,,,,,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR]
3773,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW-ERR],,,[LOW][LOW-ERR],,[LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3774,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],,,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
