Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\MeinZeugs\Uni\Publikationen\2025\MeIn pXRF\DAQ\Device_monitoring_sample_element_precision_Schauer\data_raw\Example_Precision\PDZ\03388-Mudrock Dual.pdz
SerialString,SG2-6390
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,1/1/2006 12:02:44 PM
TotalElapsedTimeInSeconds,0
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
1571,31.40072,510,31.4,0
1572,31.42072,491,31.42,0
1573,31.44072,500,31.44,0
1574,31.46072,507,31.46,0
1575,31.48072,493,31.48,0
1576,31.50072,506,31.5,0
1577,31.52072,522,31.52,0
1578,31.54072,463,31.54,0
1579,31.56072,482,31.56,0
1580,31.58072,501,31.58,0
1581,31.60072,528,31.6,0
1582,31.62072,517,31.62,0
1583,31.64072,503,31.64,0
1584,31.66072,482,31.66,0
1585,31.68072,536,31.68,0
1586,31.70072,511,31.7,0
1587,31.72072,511,31.72,0
1588,31.74072,529,31.74,0
1589,31.76072,518,31.76,0
1590,31.78072,507,31.78,0
1591,31.80072,489,31.8,0
1592,31.82072,489,31.82,0
1593,31.84072,485,31.84,0
1594,31.86072,490,31.86,0
1595,31.88072,480,31.88,0
1596,31.90072,477,31.9,0
1597,31.92072,487,31.92,0
1598,31.94072,479,31.94,0
1599,31.96072,508,31.96,0
1600,31.98072,519,31.98,0
1601,32.00072,465,32,0
1602,32.02072,488,32.02,0
1603,32.04072,528,32.04,0
1604,32.06072,494,32.06,0
1605,32.08072,505,32.08,0
1606,32.10072,535,32.1,0
1607,32.12072,479,32.12,0
1608,32.14072,480,32.14,0
1609,32.16072,466,32.16,0
1610,32.18072,512,32.18,0
1611,32.20072,465,32.2,0
1612,32.22072,474,32.22,0
1613,32.24072,465,32.24,0
1614,32.26072,407,32.26,0
1615,32.28072,461,32.28,0
1616,32.30072,471,32.3,0
1617,32.32072,443,32.32,0
1618,32.34072,413,32.34,0
1619,32.36072,439,32.36,0
1620,32.38072,452,32.38,0
1621,32.40072,410,32.4,0
1622,32.42072,423,32.42,0
1623,32.44072,392,32.44,0
1624,32.46072,382,32.46,0
1625,32.48072,390,32.48,0
1626,32.50072,411,32.5,0
1627,32.52072,366,32.52,0
1628,32.54072,392,32.54,0
1629,32.56072,404,32.56,0
1630,32.58072,410,32.58,0
1631,32.60072,411,32.6,0
1632,32.62072,375,32.62,0
1633,32.64072,398,32.64,0
1634,32.66072,351,32.66,0
1635,32.68072,364,32.68,0
1636,32.70072,377,32.7,0
1637,32.72072,346,32.72,0
1638,32.74072,365,32.74,0
1639,32.76072,357,32.76,0
1640,32.78072,377,32.78,0
1641,32.80072,371,32.8,0
1642,32.82072,333,32.82,0
1643,32.84072,361,32.84,0
1644,32.86072,378,32.86,0
1645,32.88072,357,32.88,0
1646,32.90072,356,32.9,0
1647,32.92072,334,32.92,0
1648,32.94072,350,32.94,0
1649,32.96072,353,32.96,0
1650,32.98072,326,32.98,0
1651,33.00072,360,33,0
1652,33.02072,337,33.02,0
1653,33.04072,330,33.04,0
1654,33.06072,334,33.06,0
1655,33.08072,340,33.08,0
1656,33.10072,368,33.1,0
1657,33.12072,340,33.12,0
1658,33.14072,341,33.14,0
1659,33.16072,321,33.16,0
1660,33.18072,302,33.18,0
1661,33.20072,303,33.2,0
1662,33.22072,307,33.22,0
1663,33.24072,298,33.24,0
1664,33.26072,299,33.26,0
1665,33.28072,277,33.28,0
1666,33.30072,273,33.3,0
1667,33.32072,304,33.32,0
1668,33.34072,298,33.34,0
1669,33.36072,289,33.36,0
1670,33.38072,280,33.38,0
1671,33.40072,307,33.4,0
1672,33.42072,266,33.42,0
1673,33.44072,292,33.44,0
1674,33.46072,257,33.46,0
1675,33.48072,292,33.48,0
1676,33.50072,291,33.5,0
1677,33.52072,313,33.52,0
1678,33.54072,275,33.54,0
1679,33.56072,295,33.56,0
1680,33.58072,264,33.58,0
1681,33.60072,268,33.6,0
1682,33.62072,252,33.62,0
1683,33.64072,264,33.64,0
1684,33.66072,290,33.66,0
1685,33.68072,245,33.68,0
1686,33.70072,242,33.7,0
1687,33.72072,253,33.72,0
1688,33.74072,251,33.74,0
1689,33.76072,267,33.76,0
1690,33.78072,224,33.78,0
1691,33.80072,250,33.8,0
1692,33.82072,238,33.82,0
1693,33.84072,226,33.84,0
1694,33.86072,260,33.86,0
1695,33.88072,250,33.88,0
1696,33.90072,241,33.9,0
1697,33.92072,246,33.92,0
1698,33.94072,240,33.94,0
1699,33.96072,210,33.96,0
1700,33.98072,228,33.98,0
1701,34.00072,223,34,0
1702,34.02072,222,34.02,0
1703,34.04072,236,34.04,0
1704,34.06072,229,34.06,0
1705,34.08072,208,34.08,0
1706,34.10072,226,34.1,0
1707,34.12072,190,34.12,0
1708,34.14072,209,34.14,0
1709,34.16072,208,34.16,0
1710,34.18072,194,34.18,0
1711,34.20072,199,34.2,0
1712,34.22072,211,34.22,0
1713,34.24072,193,34.24,0
1714,34.26072,188,34.26,0
1715,34.28072,198,34.28,0
1716,34.30072,196,34.3,0
1717,34.32072,179,34.32,0
1718,34.34072,207,34.34,0
1719,34.36072,177,34.36,0
1720,34.38072,186,34.38,0
1721,34.40072,172,34.4,0
1722,34.42072,188,34.42,0
1723,34.44072,165,34.44,0
1724,34.46072,166,34.46,0
1725,34.48072,157,34.48,0
1726,34.50072,163,34.5,0
1727,34.52072,153,34.52,0
1728,34.54072,164,34.54,0
1729,34.56072,167,34.56,0
1730,34.58072,139,34.58,0
1731,34.60072,175,34.6,0
1732,34.62072,173,34.62,0
1733,34.64072,149,34.64,0
1734,34.66072,157,34.66,0
1735,34.68072,130,34.68,0
1736,34.70072,141,34.7,0
1737,34.72072,123,34.72,0
1738,34.74072,145,34.74,0
1739,34.76072,152,34.76,0
1740,34.78072,127,34.78,0
1741,34.80072,143,34.8,0
1742,34.82072,130,34.82,0
1743,34.84072,128,34.84,0
1744,34.86072,140,34.86,0
1745,34.88072,127,34.88,0
1746,34.90072,122,34.9,0
1747,34.92072,106,34.92,0
1748,34.94072,115,34.94,0
1749,34.96072,122,34.96,0
1750,34.98072,120,34.98,0
1751,35.00072,73,35,0
1752,35.02072,123,35.02,0
1753,35.04072,110,35.04,0
1754,35.06072,109,35.06,0
1755,35.08072,105,35.08,0
1756,35.10072,105,35.1,0
1757,35.12072,104,35.12,0
1758,35.14072,109,35.14,0
1759,35.16072,89,35.16,0
1760,35.18072,88,35.18,0
1761,35.20072,102,35.2,0
1762,35.22072,77,35.22,0
1763,35.24072,89,35.24,0
1764,35.26072,90,35.26,0
1765,35.28072,86,35.28,0
1766,35.30072,83,35.3,0
1767,35.32072,90,35.32,0
1768,35.34072,88,35.34,0
1769,35.36072,87,35.36,0
1770,35.38072,66,35.38,0
1771,35.40072,69,35.4,0
1772,35.42072,75,35.42,0
1773,35.44072,72,35.44,0
1774,35.46072,67,35.46,0
1775,35.48072,76,35.48,0
1776,35.50072,79,35.5,0
1777,35.52072,56,35.52,0
1778,35.54072,46,35.54,0
1779,35.56072,67,35.56,0
1780,35.58072,62,35.58,0
1781,35.60072,78,35.6,0
1782,35.62072,70,35.62,0
1783,35.64072,77,35.64,0
1784,35.66072,54,35.66,0
1785,35.68072,56,35.68,0
1786,35.70072,58,35.7,0
1787,35.72072,64,35.72,0
1788,35.74072,63,35.74,0
1789,35.76072,47,35.76,0
1790,35.78072,52,35.78,0
1791,35.80072,51,35.8,0
1792,35.82072,50,35.82,0
1793,35.84072,68,35.84,0
1794,35.86072,54,35.86,0
1795,35.88072,49,35.88,0
1796,35.90072,59,35.9,0
1797,35.92072,49,35.92,0
1798,35.94072,48,35.94,0
1799,35.96072,53,35.96,0
1800,35.98072,39,35.98,0
1801,36.00072,49,36,0
1802,36.02072,64,36.02,0
1803,36.04072,48,36.04,0
1804,36.06072,35,36.06,0
1805,36.08072,52,36.08,0
1806,36.10072,49,36.1,0
1807,36.12072,51,36.12,0
1808,36.14072,51,36.14,0
1809,36.16072,44,36.16,0
1810,36.18072,59,36.18,0
1811,36.20072,53,36.2,0
1812,36.22072,43,36.22,0
1813,36.24072,38,36.24,0
1814,36.26072,54,36.26,0
1815,36.28072,51,36.28,0
1816,36.30072,50,36.3,0
1817,36.32072,40,36.32,0
1818,36.34072,53,36.34,0
1819,36.36072,55,36.36,0
1820,36.38072,48,36.38,0
1821,36.40072,48,36.4,0
1822,36.42072,45,36.42,0
1823,36.44072,36,36.44,0
1824,36.46072,48,36.46,0
1825,36.48072,52,36.48,0
1826,36.50072,36,36.5,0
1827,36.52072,34,36.52,0
1828,36.54072,39,36.54,0
1829,36.56072,37,36.56,0
1830,36.58072,42,36.58,0
1831,36.60072,34,36.6,0
1832,36.62072,27,36.62,0
1833,36.64072,39,36.64,0
1834,36.66072,21,36.66,0
1835,36.68072,34,36.68,0
1836,36.70072,36,36.7,0
1837,36.72072,31,36.72,0
1838,36.74072,27,36.74,0
1839,36.76072,35,36.76,0
1840,36.78072,31,36.78,0
1841,36.80072,23,36.8,0
1842,36.82072,19,36.82,0
1843,36.84072,28,36.84,0
1844,36.86072,18,36.86,0
1845,36.88072,27,36.88,0
1846,36.90072,32,36.9,0
1847,36.92072,31,36.92,0
1848,36.94072,29,36.94,0
1849,36.96072,27,36.96,0
1850,36.98072,23,36.98,0
1851,37.00072,26,37,0
1852,37.02072,25,37.02,0
1853,37.04072,24,37.04,0
1854,37.06072,24,37.06,0
1855,37.08072,33,37.08,0
1856,37.10072,27,37.1,0
1857,37.12072,27,37.12,0
1858,37.14072,20,37.14,0
1859,37.16072,34,37.16,0
1860,37.18072,29,37.18,0
1861,37.20072,19,37.2,0
1862,37.22072,21,37.22,0
1863,37.24072,27,37.24,0
1864,37.26072,25,37.26,0
1865,37.28072,33,37.28,0
1866,37.30072,20,37.3,0
1867,37.32072,29,37.32,0
1868,37.34072,16,37.34,0
1869,37.36072,20,37.36,0
1870,37.38072,18,37.38,0
1871,37.40072,38,37.4,0
1872,37.42072,22,37.42,0
1873,37.44072,27,37.44,0
1874,37.46072,22,37.46,0
1875,37.48072,23,37.48,0
1876,37.50072,12,37.5,0
1877,37.52072,29,37.52,0
1878,37.54072,24,37.54,0
1879,37.56072,26,37.56,0
1880,37.58072,24,37.58,0
1881,37.60072,27,37.6,0
1882,37.62072,18,37.62,0
1883,37.64072,20,37.64,0
1884,37.66072,22,37.66,0
1885,37.68072,25,37.68,0
1886,37.70072,23,37.7,0
1887,37.72072,28,37.72,0
1888,37.74072,34,37.74,0
1889,37.76072,23,37.76,0
1890,37.78072,20,37.78,0
1891,37.80072,24,37.8,0
1892,37.82072,22,37.82,0
1893,37.84072,18,37.84,0
1894,37.86072,16,37.86,0
1895,37.88072,17,37.88,0
1896,37.90072,20,37.9,0
1897,37.92072,27,37.92,0
1898,37.94072,24,37.94,0
1899,37.96072,17,37.96,0
1900,37.98072,19,37.98,0
1901,38.00072,10,38,0
1902,38.02072,22,38.02,0
1903,38.04072,13,38.04,0
1904,38.06072,19,38.06,0
1905,38.08072,15,38.08,0
1906,38.10072,18,38.1,0
1907,38.12072,14,38.12,0
1908,38.14072,20,38.14,0
1909,38.16072,20,38.16,0
1910,38.18072,21,38.18,0
1911,38.20072,19,38.2,0
1912,38.22072,19,38.22,0
1913,38.24072,22,38.24,0
1914,38.26072,21,38.26,0
1915,38.28072,19,38.28,0
1916,38.30072,11,38.3,0
1917,38.32072,19,38.32,0
1918,38.34072,18,38.34,0
1919,38.36072,28,38.36,0
1920,38.38072,12,38.38,0
1921,38.40072,14,38.4,0
1922,38.42072,16,38.42,0
1923,38.44072,13,38.44,0
1924,38.46072,18,38.46,0
1925,38.48072,21,38.48,0
1926,38.50072,17,38.5,0
1927,38.52072,25,38.52,0
1928,38.54072,12,38.54,0
1929,38.56072,17,38.56,0
1930,38.58072,15,38.58,0
1931,38.60072,12,38.6,0
1932,38.62072,15,38.62,0
1933,38.64072,20,38.64,0
1934,38.66072,13,38.66,0
1935,38.68072,16,38.68,0
1936,38.70072,15,38.7,0
1937,38.72072,15,38.72,0
1938,38.74072,13,38.74,0
1939,38.76072,17,38.76,0
1940,38.78072,9,38.78,0
1941,38.80072,13,38.8,0
1942,38.82072,11,38.82,0
1943,38.84072,15,38.84,0
1944,38.86072,9,38.86,0
1945,38.88072,12,38.88,0
1946,38.90072,6,38.9,0
1947,38.92072,23,38.92,0
1948,38.94072,16,38.94,0
1949,38.96072,17,38.96,0
1950,38.98072,12,38.98,0
1951,39.00072,22,39,0
1952,39.02072,10,39.02,0
1953,39.04072,11,39.04,0
1954,39.06072,13,39.06,0
1955,39.08072,18,39.08,0
1956,39.10072,14,39.1,0
1957,39.12072,12,39.12,0
1958,39.14072,12,39.14,0
1959,39.16072,10,39.16,0
1960,39.18072,13,39.18,0
1961,39.20072,12,39.2,0
1962,39.22072,14,39.22,0
1963,39.24072,14,39.24,0
1964,39.26072,11,39.26,0
1965,39.28072,11,39.28,0
1966,39.30072,8,39.3,0
1967,39.32072,15,39.32,0
1968,39.34072,14,39.34,0
1969,39.36072,10,39.36,0
1970,39.38072,8,39.38,0
1971,39.40072,13,39.4,0
1972,39.42072,9,39.42,0
1973,39.44072,14,39.44,0
1974,39.46072,9,39.46,0
1975,39.48072,10,39.48,0
1976,39.50072,10,39.5,0
1977,39.52072,9,39.52,0
1978,39.54072,12,39.54,0
1979,39.56072,13,39.56,0
1980,39.58072,15,39.58,0
1981,39.60072,10,39.6,0
1982,39.62072,13,39.62,0
1983,39.64072,11,39.64,0
1984,39.66072,8,39.66,0
1985,39.68072,7,39.68,0
1986,39.70072,11,39.7,0
1987,39.72072,5,39.72,0
1988,39.74072,6,39.74,0
1989,39.76072,8,39.76,0
1990,39.78072,10,39.78,0
1991,39.80072,13,39.8,0
1992,39.82072,9,39.82,0
1993,39.84072,6,39.84,0
1994,39.86072,19,39.86,0
1995,39.88072,7,39.88,0
1996,39.90072,4,39.9,0
1997,39.92072,8,39.92,0
1998,39.94072,8,39.94,0
1999,39.96072,7,39.96,0
2000,39.98072,10,39.98,0
2001,40.00072,9,40,0
2002,40.02072,7,40.02,0
2003,40.04072,9,40.04,0
2004,40.06072,7,40.06,0
2005,40.08072,4,40.08,0
2006,40.10072,9,40.1,0
2007,40.12072,8,40.12,0
2008,40.14072,10,40.14,0
2009,40.16072,9,40.16,0
2010,40.18072,8,40.18,0
2011,40.20072,8,40.2,0
2012,40.22072,9,40.22,0
2013,40.24072,4,40.24,0
2014,40.26072,12,40.26,0
2015,40.28072,9,40.28,0
2016,40.30072,13,40.3,0
2017,40.32072,14,40.32,0
2018,40.34072,10,40.34,0
2019,40.36072,14,40.36,0
2020,40.38072,12,40.38,0
2021,40.40072,9,40.4,0
2022,40.42072,2,40.42,0
2023,40.44072,5,40.44,0
2024,40.46072,6,40.46,0
2025,40.48072,11,40.48,0
2026,40.50072,4,40.5,0
2027,40.52072,13,40.52,0
2028,40.54072,4,40.54,0
2029,40.56072,10,40.56,0
2030,40.58072,8,40.58,0
2031,40.60072,13,40.6,0
2032,40.62072,6,40.62,0
2033,40.64072,15,40.64,0
2034,40.66072,7,40.66,0
2035,40.68072,9,40.68,0
2036,40.70072,13,40.7,0
2037,40.72072,10,40.72,0
2038,40.74072,7,40.74,0
2039,40.76072,5,40.76,0
2040,40.78072,14,40.78,0
2041,40.80072,10,40.8,0
2042,40.82072,12,40.82,0
2043,40.84072,8,40.84,0
2044,40.86072,4,40.86,0
2045,40.88072,7,40.88,0
2046,40.90072,14,40.9,0
2047,40.92072,11,40.92,0
2048,40.94072,5,40.94,0
