Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\MeinZeugs\Uni\Publikationen\2025\MeIn pXRF\DAQ\Device_monitoring_sample_element_precision_Schauer\data_raw\Example_Precision\PDZ\03388-Mudrock Dual.pdz
SerialString,SG2-6390
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,1/1/2006 12:02:44 PM
TotalElapsedTimeInSeconds,0
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
319,6.360721,40733,6.36,79066
320,6.380721,46712,6.38,91863
321,6.400721,47765,6.4,93414
322,6.420721,44064,6.42,85983
323,6.440721,36035,6.44,71246
324,6.460721,26813,6.46,52621
325,6.480721,17798,6.48,35570
326,6.500721,10745,6.5,22035
327,6.520721,5965,6.52,12756
328,6.540721,2875,6.54,7227
329,6.560721,1462,6.56,4390
330,6.580721,699,6.58,3116
331,6.600721,402,6.6,2353
332,6.620721,227,6.62,2163
333,6.640721,191,6.64,2087
334,6.660721,185,6.66,2000
335,6.680721,153,6.68,1980
336,6.700721,170,6.7,1960
337,6.720721,147,6.72,1927
338,6.740721,160,6.74,1954
339,6.760721,163,6.76,1942
340,6.780721,192,6.78,1959
341,6.800721,192,6.8,2019
342,6.820721,226,6.82,2097
343,6.840721,293,6.84,2221
344,6.860721,375,6.86,2377
345,6.880721,542,6.88,2707
346,6.900721,787,6.9,3053
347,6.920721,1237,6.92,3772
348,6.940721,2028,6.94,5200
349,6.960721,3089,6.96,7068
350,6.980721,4530,6.98,9545
351,7.000721,5884,7,11804
352,7.020721,7006,7.02,13900
353,7.040721,7913,7.04,15267
354,7.060721,7653,7.06,15258
355,7.080721,7121,7.08,13885
356,7.100721,5647,7.1,11457
357,7.120721,4207,7.12,8939
358,7.140721,2829,7.14,6578
359,7.160721,1820,7.16,4609
360,7.180721,1011,7.18,3256
361,7.200721,555,7.2,2661
362,7.220721,354,7.22,2211
363,7.240721,164,7.24,1926
364,7.260721,104,7.26,1809
365,7.280721,92,7.28,1893
366,7.300721,81,7.3,1894
367,7.320721,98,7.32,1976
368,7.340721,101,7.34,1981
369,7.360721,134,7.36,2100
370,7.380721,165,7.38,2344
371,7.400721,213,7.4,2605
372,7.420721,278,7.42,2747
373,7.440721,288,7.44,2950
374,7.460721,336,7.46,3043
375,7.480721,301,7.48,3063
376,7.500721,278,7.5,2897
377,7.520721,227,7.52,2524
378,7.540721,206,7.54,2337
379,7.560721,147,7.56,2038
380,7.580721,112,7.58,1873
381,7.600721,98,7.6,1717
382,7.620721,72,7.62,1657
383,7.640721,68,7.64,1621
384,7.660721,67,7.66,1531
385,7.680721,64,7.68,1653
386,7.700721,71,7.7,1623
387,7.720721,78,7.72,1585
388,7.740721,60,7.74,1543
389,7.760721,68,7.76,1625
390,7.780721,67,7.78,1564
391,7.800721,74,7.8,1603
392,7.820721,96,7.82,1601
393,7.840721,119,7.84,1590
394,7.860721,152,7.86,1630
395,7.880721,190,7.88,1712
396,7.900721,285,7.9,1776
397,7.920721,442,7.92,1848
398,7.940721,654,7.94,1987
399,7.960721,948,7.96,2106
400,7.980721,1207,7.98,2393
401,8.000721,1440,8,2530
402,8.02072,1663,8.02,2668
403,8.040721,1649,8.04,2767
404,8.06072,1579,8.06,2810
405,8.080721,1357,8.08,2730
406,8.10072,1091,8.1,2421
407,8.120721,812,8.12,2343
408,8.14072,521,8.14,2252
409,8.160721,354,8.16,2095
410,8.18072,248,8.18,1976
411,8.200721,216,8.2,1948
412,8.220721,148,8.22,1888
413,8.240721,141,8.24,1898
414,8.260721,123,8.26,1846
415,8.280721,147,8.28,1789
416,8.300721,128,8.3,1772
417,8.320721,121,8.32,1714
418,8.340721,143,8.34,1628
419,8.360721,138,8.36,1660
420,8.380721,126,8.38,1592
421,8.400721,163,8.4,1622
422,8.420721,190,8.42,1626
423,8.440721,319,8.44,1698
424,8.460721,500,8.46,1777
425,8.480721,835,8.48,1873
426,8.500721,1378,8.5,2171
427,8.52072,2210,8.52,2621
428,8.540721,3323,8.54,3040
429,8.56072,4547,8.56,3541
430,8.580721,5546,8.58,4102
431,8.60072,6436,8.6,4531
432,8.620721,6715,8.62,4835
433,8.64072,6653,8.64,4727
434,8.660721,6044,8.66,4303
435,8.68072,4856,8.68,3874
436,8.700721,3733,8.7,3268
437,8.720721,2579,8.72,2855
438,8.740721,1736,8.74,2365
439,8.760721,1020,8.76,2029
440,8.780721,653,8.78,1849
441,8.800721,462,8.8,1849
442,8.820721,382,8.82,1706
443,8.840721,382,8.84,1740
444,8.860721,382,8.86,1730
445,8.880721,370,8.88,1763
446,8.900721,410,8.9,1736
447,8.920721,378,8.92,1771
448,8.940721,397,8.94,1757
449,8.960721,327,8.96,1670
450,8.980721,292,8.98,1646
451,9.000721,228,9,1618
452,9.02072,208,9.02,1642
453,9.040721,195,9.04,1694
454,9.06072,211,9.06,1668
455,9.080721,253,9.08,1584
456,9.10072,334,9.1,1621
457,9.120721,383,9.12,1677
458,9.14072,435,9.14,1765
459,9.160721,531,9.16,1566
460,9.18072,543,9.18,1639
461,9.200721,571,9.2,1784
462,9.220721,551,9.22,1776
463,9.240721,529,9.24,1792
464,9.260721,469,9.26,1726
465,9.280721,470,9.28,1666
466,9.300721,381,9.3,1690
467,9.320721,317,9.32,1624
468,9.340721,259,9.34,1662
469,9.360721,274,9.36,1642
470,9.380721,280,9.38,1564
471,9.400721,289,9.4,1658
472,9.420721,325,9.42,1682
473,9.440721,451,9.44,1790
474,9.460721,541,9.46,1844
475,9.480721,706,9.48,1923
476,9.500721,928,9.5,1913
477,9.52072,1107,9.52,2011
478,9.540721,1229,9.54,2108
479,9.56072,1280,9.56,2055
480,9.580721,1291,9.58,2087
481,9.60072,1133,9.6,2058
482,9.620721,1079,9.62,2015
483,9.64072,852,9.64,1962
484,9.660721,690,9.66,1914
485,9.68072,491,9.68,1734
486,9.700721,403,9.7,1820
487,9.720721,347,9.72,1815
488,9.740721,270,9.74,1719
489,9.760721,237,9.76,1636
490,9.780721,219,9.78,1709
491,9.800721,212,9.8,1581
492,9.820721,253,9.82,1571
493,9.840721,243,9.84,1587
494,9.860721,259,9.86,1597
495,9.880721,228,9.88,1587
496,9.900721,240,9.9,1634
497,9.920721,259,9.92,1608
498,9.940721,244,9.94,1609
499,9.960721,265,9.96,1591
500,9.980721,285,9.98,1598
501,10.00072,242,10,1590
502,10.02072,263,10.02,1578
503,10.04072,315,10.04,1584
504,10.06072,281,10.06,1537
505,10.08072,271,10.08,1527
506,10.10072,241,10.1,1574
507,10.12072,263,10.12,1602
508,10.14072,340,10.14,1574
509,10.16072,343,10.16,1549
510,10.18072,334,10.18,1494
511,10.20072,351,10.2,1536
512,10.22072,394,10.22,1529
513,10.24072,359,10.24,1552
514,10.26072,415,10.26,1590
515,10.28072,442,10.28,1521
516,10.30072,481,10.3,1500
517,10.32072,627,10.32,1485
518,10.34072,880,10.34,1558
519,10.36072,1084,10.36,1505
520,10.38072,1518,10.38,1587
521,10.40072,2172,10.4,1553
522,10.42072,2899,10.42,1625
523,10.44072,3824,10.44,1641
524,10.46072,4890,10.46,1738
525,10.48072,5915,10.48,1754
526,10.50072,6772,10.5,1833
527,10.52072,7305,10.52,1806
528,10.54072,7792,10.54,1879
529,10.56072,7326,10.56,1708
530,10.58072,6603,10.58,1735
531,10.60072,5522,10.6,1611
532,10.62072,4387,10.62,1584
533,10.64072,3287,10.64,1542
534,10.66072,2368,10.66,1426
535,10.68072,1739,10.68,1460
536,10.70072,1262,10.7,1451
537,10.72072,889,10.72,1365
538,10.74072,603,10.74,1330
539,10.76072,561,10.76,1366
540,10.78072,525,10.78,1320
541,10.80072,530,10.8,1408
542,10.82072,455,10.82,1371
543,10.84072,480,10.84,1367
544,10.86072,453,10.86,1338
545,10.88072,458,10.88,1318
546,10.90072,493,10.9,1301
547,10.92072,455,10.92,1294
548,10.94072,477,10.94,1341
549,10.96072,483,10.96,1286
550,10.98072,491,10.98,1302
551,11.00072,480,11,1266
552,11.02072,516,11.02,1230
553,11.04072,494,11.04,1293
554,11.06072,497,11.06,1236
555,11.08072,514,11.08,1264
556,11.10072,491,11.1,1282
557,11.12072,536,11.12,1244
558,11.14072,542,11.14,1258
559,11.16072,560,11.16,1194
560,11.18072,560,11.18,1277
561,11.20072,598,11.2,1229
562,11.22072,570,11.22,1191
563,11.24072,654,11.24,1250
564,11.26072,608,11.26,1219
565,11.28072,607,11.28,1190
566,11.30072,647,11.3,1159
567,11.32072,698,11.32,1219
568,11.34072,669,11.34,1153
569,11.36072,697,11.36,1159
570,11.38072,669,11.38,1157
571,11.40072,666,11.4,1213
572,11.42072,618,11.42,1198
573,11.44072,607,11.44,1199
